"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","2","0.0-0.0","11","Low_HMMActual","","","","","",""
"external-html","1","5757","0.0-1.0-0.0","11","Low_HMMActual","5687.750000000051","consent.html","","","",""
"survey-multi-choice","2","15740","0.0-1.0-1.0","11","Low_HMMActual","9981.270000000222","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","18844","0.0-1.0-2.0","11","Low_HMMActual","3101.5699999998105","","{""Q0"":""31""}","","",""
"survey-text","4","22139","0.0-1.0-3.0","11","Low_HMMActual","3193.760000000111","","{""Q0"":""5ec686d444972a06d9aeeffe""}","","",""
"html-keyboard-response","5","34044","0.0-2.0-0.0","11","Low_HMMActual","11802.504999999655","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","44828","0.0-2.0-1.0","11","Low_HMMActual","10783.410000000003","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 85% white or black beads and 15% of the opposite color mixed in<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","55149","0.0-2.0-2.0","11","Low_HMMActual","10319.760000000315","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","60373","0.0-2.0-3.0","11","Low_HMMActual","5223.160000000462","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","65980","0.0-2.0-4.0","11","Low_HMMActual","5607.044999999751","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","70356","0.0-2.0-5.0","11","Low_HMMActual","4375.065000000177","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","88989","0.0-2.0-6.0","11","Low_HMMActual","18633.055000000226","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","100349","0.0-2.0-7.0","11","Low_HMMActual","11358.760000000068","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","104869","0.0-2.0-8.0","11","Low_HMMActual","4519.769999999873","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","107972","0.0-2.0-9.0","11","Low_HMMActual","3102.5350000000035","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","121293","0.0-2.0-10.0","11","Low_HMMActual","13320.265000000305","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 85% white jar, the jars switched and a black bead was pulled from the 85% black jar, but then low-probability white bead was pulled from the 90% black jar. <br><br>In these mixed-jar blocks, you will first have to figure out which jar the current bead was pulled from, then use the jar switch probability to predict the color of the next bead.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
"html-keyboard-response","16","124205","0.0-2.0-11.0","11","Low_HMMActual","2911.739999999554","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> You will now be given a 2 question quiz to make sure you understand the fundamentals. </p><div>","32"
"image-keyboard-response","17","134365","0.0-2.0-12.0","11","Low_HMMActual","10159.72499999954","","","","Images/TutorialQuestion1.png","39"
"image-keyboard-response","18","149493","0.0-2.0-13.0","11","Low_HMMActual","13095.77999999965","","","","Images/TutorialQuestion2.png","38"
"html-keyboard-response","19","160093","0.0-3.0","11","Low_HMMActual","7808.944999999774","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>","32"
"image-keyboard-response","20","162492","0.0-4.0-0.0","11","Low_HMMActual","2398.2949999999546","","","","Images/NoChoice.png","39"
"image-keyboard-response","21","162744","0.0-4.0-1.0","11","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","22","163246","0.0-4.0-2.0","11","Low_HMMActual","null","","","","Images/WhiteBeadChoiceWrong.png","null"
"image-keyboard-response","23","164620","0.0-4.0-0.1","11","Low_HMMActual","1373.7399999999907","","","","Images/NewTrialBC.png","39"
"image-keyboard-response","24","164872","0.0-4.0-1.1","11","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","25","165373","0.0-4.0-2.1","11","Low_HMMActual","null","","","","Images/WhiteBeadChoiceWrong.png","null"
"image-keyboard-response","26","167156","0.0-4.0-0.2","11","Low_HMMActual","1783.1550000000861","","","","Images/NewTrialBC.png","39"
"image-keyboard-response","27","167407","0.0-4.0-1.2","11","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","28","167909","0.0-4.0-2.2","11","Low_HMMActual","null","","","","Images/WhiteBeadChoiceWrong.png","null"
"image-keyboard-response","29","169516","0.0-4.0-0.3","11","Low_HMMActual","1606.2000000001863","","","","Images/NewTrialBC.png","39"
"image-keyboard-response","30","169767","0.0-4.0-1.3","11","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","31","170269","0.0-4.0-2.3","11","Low_HMMActual","null","","","","Images/WhiteBeadChoiceWrong.png","null"
"image-keyboard-response","32","170748","0.0-4.0-0.4","11","Low_HMMActual","478.95499999960884","","","","Images/NewTrialBC.png","37"
"image-keyboard-response","33","171000","0.0-4.0-1.4","11","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
"image-keyboard-response","34","171502","0.0-4.0-2.4","11","Low_HMMActual","null","","","","Images/BlackBeadChoiceCorrect.png","null"
"image-keyboard-response","35","172028","0.0-4.0-0.5","11","Low_HMMActual","525.7750000000815","","","","Images/NewTrialBC.png","37"
"image-keyboard-response","36","172280","0.0-4.0-1.5","11","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
"image-keyboard-response","37","172782","0.0-4.0-2.5","11","Low_HMMActual","null","","","","Images/BlackBeadChoiceWrong.png","null"
"image-keyboard-response","38","172908","0.0-4.0-0.6","11","Low_HMMActual","125.26499999966472","","","","Images/NewTrialWC.png","39"
"image-keyboard-response","39","173159","0.0-4.0-1.6","11","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","40","173661","0.0-4.0-2.6","11","Low_HMMActual","null","","","","Images/WhiteBeadChoiceWrong.png","null"
"image-keyboard-response","41","174332","0.0-4.0-0.7","11","Low_HMMActual","670.3649999999325","","","","Images/NewTrialBC.png","37"
"image-keyboard-response","42","174583","0.0-4.0-1.7","11","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
"image-keyboard-response","43","175085","0.0-4.0-2.7","11","Low_HMMActual","null","","","","Images/BlackBeadChoiceCorrect.png","null"
"image-keyboard-response","44","175564","0.0-4.0-0.8","11","Low_HMMActual","477.9750000006752","","","","Images/NewTrialBC.png","37"
"image-keyboard-response","45","175815","0.0-4.0-1.8","11","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
"image-keyboard-response","46","176317","0.0-4.0-2.8","11","Low_HMMActual","null","","","","Images/BlackBeadChoiceCorrect.png","null"
"image-keyboard-response","47","176924","0.0-4.0-0.9","11","Low_HMMActual","606.1150000004855","","","","Images/NewTrialBC.png","39"
"image-keyboard-response","48","177176","0.0-4.0-1.9","11","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","49","177677","0.0-4.0-2.9","11","Low_HMMActual","null","","","","Images/WhiteBeadChoiceWrong.png","null"
"image-keyboard-response","50","178020","0.0-4.0-0.10","11","Low_HMMActual","342.2099999997881","","","","Images/NewTrialBC.png","37"
"image-keyboard-response","51","178272","0.0-4.0-1.10","11","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
"image-keyboard-response","52","178773","0.0-4.0-2.10","11","Low_HMMActual","null","","","","Images/BlackBeadChoiceCorrect.png","null"
"image-keyboard-response","53","179300","0.0-4.0-0.11","11","Low_HMMActual","525.6699999999837","","","","Images/NewTrialBC.png","37"
"image-keyboard-response","54","179551","0.0-4.0-1.11","11","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
"image-keyboard-response","55","180053","0.0-4.0-2.11","11","Low_HMMActual","null","","","","Images/BlackBeadChoiceCorrect.png","null"
"image-keyboard-response","56","180636","0.0-4.0-0.12","11","Low_HMMActual","582.0149999999558","","","","Images/NewTrialBC.png","37"
"image-keyboard-response","57","180887","0.0-4.0-1.12","11","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
"image-keyboard-response","58","181388","0.0-4.0-2.12","11","Low_HMMActual","null","","","","Images/BlackBeadChoiceCorrect.png","null"
"image-keyboard-response","59","182045","0.0-4.0-0.13","11","Low_HMMActual","655.7099999999919","","","","Images/NewTrialBC.png","37"
"image-keyboard-response","60","182296","0.0-4.0-1.13","11","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
"image-keyboard-response","61","182798","0.0-4.0-2.13","11","Low_HMMActual","null","","","","Images/BlackBeadChoiceCorrect.png","null"
"image-keyboard-response","62","183565","0.0-4.0-0.14","11","Low_HMMActual","766.3350000002538","","","","Images/NewTrialBC.png","37"
