"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","9","0.0-0.0","3","Low_HMMActual","","","","","",""
"external-html","1","40036","0.0-1.0-0.0","3","Low_HMMActual","39598.34500000579","consent.html","","","",""
"survey-multi-choice","2","49962","0.0-1.0-1.0","3","Low_HMMActual","9908.465000044089","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","54182","0.0-1.0-2.0","3","Low_HMMActual","4205.030000011902","","{""Q0"":""22""}","","",""
"survey-text","4","58849","0.0-1.0-3.0","3","Low_HMMActual","4561.914999969304","","{""Q0"":""5d1a035978bf96001a5d7d65""}","","",""
"html-keyboard-response","5","77601","0.0-2.0-0.0","3","Low_HMMActual","18648.205000034068","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","86116","0.0-2.0-1.0","3","Low_HMMActual","8514.005000004545","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 85% white or black beads and 15% of the opposite color mixed in<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","95021","0.0-2.0-2.0","3","Low_HMMActual","8902.150000038091","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","106152","0.0-2.0-3.0","3","Low_HMMActual","11130.449999996927","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","122239","0.0-2.0-4.0","3","Low_HMMActual","16084.719999984372","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","127536","0.0-2.0-5.0","3","Low_HMMActual","5293.004999984987","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","172413","0.0-2.0-6.0","3","Low_HMMActual","44875.61499996809","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","187926","0.0-2.0-7.0","3","Low_HMMActual","15510.739999997895","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","193357","0.0-2.0-8.0","3","Low_HMMActual","5430.730000021867","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","197877","0.0-2.0-9.0","3","Low_HMMActual","4518.7499999883585","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","231049","0.0-2.0-10.0","3","Low_HMMActual","33170.105000026524","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 85% white jar, the jars switched and a black bead was pulled from the 85% black jar, but then low-probability white bead was pulled from the 90% black jar. <br><br>In these mixed-jar blocks, you will first have to figure out which jar the current bead was pulled from, then use the jar switch probability to predict the color of the next bead.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
"html-keyboard-response","16","251479","0.0-2.0-11.0","3","Low_HMMActual","20428.25500003528","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> You will now be given a 2 question quiz to make sure you understand the fundamentals. </p><div>","32"
"image-keyboard-response","17","263907","0.0-2.0-12.0","3","Low_HMMActual","12425.945000024512","","","","Images/TutorialQuestion1.png","39"
"image-keyboard-response","18","279701","0.0-2.0-13.0","3","Low_HMMActual","13155.109999992419","","","","Images/TutorialQuestion2.png","38"
"html-keyboard-response","19","305321","0.0-3.0","3","Low_HMMActual","23673.41500002658","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>","32"
"image-keyboard-response","20","320122","0.0-4.0-0.0","3","Low_HMMActual","14798.705000022892","","","","Images/NoChoice.png","39"
"image-keyboard-response","21","320378","0.0-4.0-1.0","3","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","22","320880","0.0-4.0-2.0","3","Low_HMMActual","null","","","","Images/WhiteBeadChoiceCorrect.png","null"
"image-keyboard-response","23","325849","0.0-4.0-0.1","3","Low_HMMActual","4966.954999952577","","","","Images/NewTrialWC.png","39"
"image-keyboard-response","24","326105","0.0-4.0-1.1","3","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","25","326609","0.0-4.0-2.1","3","Low_HMMActual","null","","","","Images/WhiteBeadChoiceCorrect.png","null"
"image-keyboard-response","26","327565","0.0-4.0-0.2","3","Low_HMMActual","954.7199999797158","","","","Images/NewTrialWC.png","39"
"image-keyboard-response","27","327820","0.0-4.0-1.2","3","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","28","328322","0.0-4.0-2.2","3","Low_HMMActual","null","","","","Images/WhiteBeadChoiceCorrect.png","null"
"image-keyboard-response","29","328706","0.0-4.0-0.3","3","Low_HMMActual","382.85500003257766","","","","Images/NewTrialWC.png","39"
"image-keyboard-response","30","328962","0.0-4.0-1.3","3","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","31","329467","0.0-4.0-2.3","3","Low_HMMActual","null","","","","Images/WhiteBeadChoiceWrong.png","null"
"image-keyboard-response","32","332484","0.0-4.0-0.4","3","Low_HMMActual","3016.219999990426","","","","Images/NewTrialBC.png","39"
"image-keyboard-response","33","332740","0.0-4.0-1.4","3","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","34","333247","0.0-4.0-2.4","3","Low_HMMActual","null","","","","Images/WhiteBeadChoiceCorrect.png","null"
"image-keyboard-response","35","333905","0.0-4.0-0.5","3","Low_HMMActual","656.4049999578856","","","","Images/NewTrialWC.png","39"
"image-keyboard-response","36","334158","0.0-4.0-1.5","3","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","37","334665","0.0-4.0-2.5","3","Low_HMMActual","null","","","","Images/WhiteBeadChoiceCorrect.png","null"
"image-keyboard-response","38","334961","0.0-4.0-0.6","3","Low_HMMActual","295.05499999504536","","","","Images/NewTrialWC.png","39"
"image-keyboard-response","39","335218","0.0-4.0-1.6","3","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","40","335724","0.0-4.0-2.6","3","Low_HMMActual","null","","","","Images/WhiteBeadChoiceCorrect.png","null"
"image-keyboard-response","41","335943","0.0-4.0-0.7","3","Low_HMMActual","217.160000000149","","","","Images/NewTrialWC.png","39"
"image-keyboard-response","42","336199","0.0-4.0-1.7","3","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","43","336704","0.0-4.0-2.7","3","Low_HMMActual","null","","","","Images/WhiteBeadChoiceWrong.png","null"
