"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","6","0.0-0.0","9","Low_HMMActual","","","","","",""
"external-html","1","14061","0.0-1.0-0.0","9","Low_HMMActual","13874.880000017583","consent.html","","","",""
"survey-multi-choice","2","18394","0.0-1.0-1.0","9","Low_HMMActual","4331.070000072941","","{""Q0"":""Male"",""Q1"":""Asian""}","[0,1]","",""
"survey-text","3","21811","0.0-1.0-2.0","9","Low_HMMActual","3412.3400000389665","","{""Q0"":""43""}","","",""
"survey-text","4","29328","0.0-1.0-3.0","9","Low_HMMActual","7411.990000051446","","{""Q0"":""5eedb6e33c65b81eb84679db""}","","",""
"html-keyboard-response","5","53601","0.0-2.0-0.0","9","Low_HMMActual","24168.940000003204","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","65879","0.0-2.0-1.0","9","Low_HMMActual","12276.339999982156","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 85% white or black beads and 15% of the opposite color mixed in<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","70158","0.0-2.0-2.0","9","Low_HMMActual","4277.02500007581","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","73014","0.0-2.0-3.0","9","Low_HMMActual","2854.1149999946356","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","81512","0.0-2.0-4.0","9","Low_HMMActual","8496.365000028163","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","87068","0.0-2.0-5.0","9","Low_HMMActual","5554.304999997839","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","124159","0.0-2.0-6.0","9","Low_HMMActual","37090.10499995202","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","143206","0.0-2.0-7.0","9","Low_HMMActual","19045.07500003092","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","153951","0.0-2.0-8.0","9","Low_HMMActual","10743.415000033565","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","157373","0.0-2.0-9.0","9","Low_HMMActual","3421.070000040345","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","192468","0.0-2.0-10.0","9","Low_HMMActual","35094.69000005629","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 85% white jar, the jars switched and a black bead was pulled from the 85% black jar, but then low-probability white bead was pulled from the 90% black jar. <br><br>In these mixed-jar blocks, you will first have to figure out which jar the current bead was pulled from, then use the jar switch probability to predict the color of the next bead.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
