"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","2","0.0-0.0","16","High_HMMActual","","","","","",""
"external-html","1","9936","0.0-1.0-0.0","16","High_HMMActual","9818.455000058748","consent.html","","","",""
"survey-multi-choice","2","13606","0.0-1.0-1.0","16","High_HMMActual","3668.2099999161437","","{""Q0"":""Female"",""Q1"":""Asian""}","[0,1]","",""
"survey-text","3","16502","0.0-1.0-2.0","16","High_HMMActual","2891.029999940656","","{""Q0"":""20""}","","",""
"survey-text","4","21963","0.0-1.0-3.0","16","High_HMMActual","5357.220000005327","","{""Q0"":""5dcfc4a09595a10cd3ef3e59""}","","",""
"html-keyboard-response","5","31424","0.0-2.0-0.0","16","High_HMMActual","9357.539999997243","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","37903","0.0-2.0-1.0","16","High_HMMActual","6478.260000003502","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 85% white or black beads and 15% of the opposite color mixed in<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","41838","0.0-2.0-2.0","16","High_HMMActual","3933.6899999761954","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","42919","0.0-2.0-3.0","16","High_HMMActual","1080.1450000144541","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","45701","0.0-2.0-4.0","16","High_HMMActual","2781.0499999905005","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
