"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","3","0.0-0.0","16","High_HMMActual","","","","","",""
"external-html","1","13662","0.0-1.0-0.0","16","High_HMMActual","13610.310000000027","consent.html","","","",""
"survey-multi-choice","2","19764","0.0-1.0-1.0","16","High_HMMActual","6099.784999999996","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","22228","0.0-1.0-2.0","16","High_HMMActual","2457.909999999967","","{""Q0"":""30""}","","",""
"survey-text","4","26764","0.0-1.0-3.0","16","High_HMMActual","4431.865000000016","","{""Q0"":""5ec681c8a4a63e0758ed0829""}","","",""
"html-keyboard-response","5","45127","0.0-2.0-0.0","16","High_HMMActual","18260.09500000009","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","51878","0.0-2.0-1.0","16","High_HMMActual","6750.445000000014","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 80% white or black beads and 20% of the opposite color mixed in.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","62405","0.0-2.0-2.0","16","High_HMMActual","10526.884999999995","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","64238","0.0-2.0-3.0","16","High_HMMActual","1831.4200000000928","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","72270","0.0-2.0-4.0","16","High_HMMActual","8031.005000000041","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","80110","0.0-2.0-5.0","16","High_HMMActual","7839.04499999994","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","110166","0.0-2.0-6.0","16","High_HMMActual","30055.599999999904","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>We will now show you some examples of beads being drawn from jars. The bead will appear in the middle of the screen, and the jar the bead was pulled from will be indicated with a black rectangle.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","115749","0.0-2.0-7.0","16","High_HMMActual","5582.999999999971","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","122414","0.0-2.0-8.0","16","High_HMMActual","6663.670000000013","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","123557","0.0-2.0-9.0","16","High_HMMActual","1142.5950000000303","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","140470","0.0-2.0-10.0","16","High_HMMActual","16911.839999999997","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 80% white jar, the jars switched and a black bead was pulled from the 80% black jar, but then a low-probability white bead was pulled from the 80% black jar. <br><br>Because the jars have a mix of white and black beads, the best strategy to predict the next bead is to first figure out which jar the current bead was pulled from, then use the jar switch probability to predict which jar will be drawn from next.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
"html-keyboard-response","16","142893","0.0-2.0-11.0","16","High_HMMActual","2423.2050000000454","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> You will now be given a 2 question quiz to make sure you understand the task. </p><div>","32"
"image-keyboard-response","17","153198","0.0-2.0-12.0","16","High_HMMActual","10303.369999999966","","","","Images/TutorialQuestion1.png","39"
"image-keyboard-response","18","162957","0.0-2.0-13.0","16","High_HMMActual","8108.209999999992","","","","Images/TutorialQuestion2.png","38"
"html-keyboard-response","19","182478","0.0-3.0","16","High_HMMActual","18049.87500000006","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>","32"
"image-keyboard-response","20","188326","0.0-4.0-0.0","16","High_HMMActual","5846.620000000024","","","","Images/NoChoice.png","39"
"image-keyboard-response","21","188728","0.0-4.0-1.0","16","High_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","22","189430","0.0-4.0-2.0","16","High_HMMActual","null","","","","Images/WhiteBeadChoiceWrong.png","null"
"image-keyboard-response","23","191054","0.0-4.0-0.1","16","High_HMMActual","1623.0549999999057","","","","Images/NewTrialBC.png","39"
"image-keyboard-response","24","191455","0.0-4.0-1.1","16","High_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
"image-keyboard-response","25","192157","0.0-4.0-2.1","16","High_HMMActual","null","","","","Images/WhiteBeadChoiceCorrect.png","null"
