"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","5","0.0-0.0","9","Low_HMMActual","","","","","",""
"external-html","1","3244","0.0-1.0-0.0","9","Low_HMMActual","3152","consent.html","","","",""
"survey-multi-choice","2","13596","0.0-1.0-1.0","9","Low_HMMActual","10349","","{""Q0"":""Female"",""Q1"":""Other""}","[0,1]","",""
"survey-text","3","16977","0.0-1.0-2.0","9","Low_HMMActual","3377","","{""Q0"":""20""}","","",""
"survey-text","4","24601","0.0-1.0-3.0","9","Low_HMMActual","7520","","{""Q0"":""5e6a278fdd671c000b875637""}","","",""
"html-keyboard-response","5","44075","0.0-2.0-0.0","9","Low_HMMActual","19369","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","49689","0.0-2.0-1.0","9","Low_HMMActual","5613","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 80% white or black beads and 20% of the opposite color mixed in.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","52336","0.0-2.0-2.0","9","Low_HMMActual","2647","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","54400","0.0-2.0-3.0","9","Low_HMMActual","2064","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","57493","0.0-2.0-4.0","9","Low_HMMActual","3092","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","61502","0.0-2.0-5.0","9","Low_HMMActual","4009","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","70294","0.0-2.0-6.0","9","Low_HMMActual","8792","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>We will now show you some examples of beads being drawn from jars. The bead will appear in the middle of the screen, and the jar the bead was pulled from will be indicated with a black rectangle.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","82464","0.0-2.0-7.0","9","Low_HMMActual","12169","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","86025","0.0-2.0-8.0","9","Low_HMMActual","3560","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","89809","0.0-2.0-9.0","9","Low_HMMActual","3782","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","100500","0.0-2.0-10.0","9","Low_HMMActual","10690","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 80% white jar, the jars switched and a black bead was pulled from the 80% black jar, but then a low-probability white bead was pulled from the 80% black jar. <br><br>This means that the color of the bead will not always match to the color of the jar it was pulled from.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
"html-keyboard-response","16","102499","0.0-2.0-11.0","9","Low_HMMActual","1998","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> You will now be given a 2 question quiz to make sure you understand the task. </p><div>","32"
"image-keyboard-response","17","118991","0.0-2.0-12.0","9","Low_HMMActual","16491","","","","Images/TutorialQuestion1.png","39"
"image-keyboard-response","18","129571","0.0-2.0-13.0","9","Low_HMMActual","7640","","","","Images/TutorialQuestion2.png","38"
"html-keyboard-response","19","134945","0.0-3.0","9","Low_HMMActual","3782","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>","32"
"image-keyboard-response","20","140118","0.0-4.0-0.0","9","Low_HMMActual","5171","","","","Images/NoChoice.png","37"
"image-keyboard-response","21","140521","0.0-4.0-1.0","9","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
"image-keyboard-response","22","141223","0.0-4.0-2.0","9","Low_HMMActual","null","","","","Images/BlackBeadChoiceWrong.png","null"
"image-keyboard-response","23","143696","0.0-4.0-0.1","9","Low_HMMActual","2471","","","","Images/NewTrialWC.png","39"
"image-keyboard-response","24","144097","0.0-4.0-1.1","9","Low_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
