"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","6","0.0-0.0","2","High_HMMActual","","","","","",""
"external-html","1","21658","0.0-1.0-0.0","2","High_HMMActual","21519.369999994524","consent.html","","","",""
"survey-multi-choice","2","29301","0.0-1.0-1.0","2","High_HMMActual","7639.430000010179","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","33083","0.0-1.0-2.0","2","High_HMMActual","3777.6599999924656","","{""Q0"":""34""}","","",""
"survey-text","4","38056","0.0-1.0-3.0","2","High_HMMActual","4865.955000015674","","{""Q0"":""582f8bbd4cadc80001b0fbd3""}","","",""
"html-keyboard-response","5","54679","0.0-2.0-0.0","2","High_HMMActual","16518.284999998286","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","75312","0.0-2.0-1.0","2","High_HMMActual","20631.915000005392","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 80% white or black beads and 20% of the opposite color mixed in.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","87274","0.0-2.0-2.0","2","High_HMMActual","11957.85999999498","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","92367","0.0-2.0-3.0","2","High_HMMActual","5091.065000015078","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","99214","0.0-2.0-4.0","2","High_HMMActual","6845.964999985881","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","107869","0.0-2.0-5.0","2","High_HMMActual","8652.054999984102","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","135629","0.0-2.0-6.0","2","High_HMMActual","27757.94000001042","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>We will now show you some examples of beads being drawn from jars. The bead will appear in the middle of the screen, and the jar the bead was pulled from will be indicated with a black rectangle.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","149165","0.0-2.0-7.0","2","High_HMMActual","13533.055000007153","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","153415","0.0-2.0-8.0","2","High_HMMActual","4247.715000004973","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","159784","0.0-2.0-9.0","2","High_HMMActual","6366.535000008298","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","174820","0.0-2.0-10.0","2","High_HMMActual","15034.945000021253","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 80% white jar, the jars switched and a black bead was pulled from the 80% black jar, but then a low-probability white bead was pulled from the 80% black jar. <br><br>This means that the color of the bead will not always match to the color of the jar it was pulled from.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
"html-keyboard-response","16","179981","0.0-2.0-11.0","2","High_HMMActual","5159.610000002431","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> You will now be given a 2 question quiz to make sure you understand the task. </p><div>","32"
"image-keyboard-response","17","191344","0.0-2.0-12.0","2","High_HMMActual","11360.750000021653","","","","Images/TutorialQuestion1.png","39"
"image-keyboard-response","18","212511","0.0-2.0-13.0","2","High_HMMActual","17388.490000012098","","","","Images/TutorialQuestion2.png","38"
