"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","2","0.0-0.0","11","High_HMMActual","","","","","",""
"external-html","1","3336429","0.0-1.0-0.0","11","High_HMMActual","3336222.6300000004","consent.html","","","",""
"survey-multi-choice","2","3348481","0.0-1.0-1.0","11","High_HMMActual","12050.309999998659","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","3351291","0.0-1.0-2.0","11","High_HMMActual","2807.4849999975413","","{""Q0"":""22""}","","",""
"survey-text","4","3359041","0.0-1.0-3.0","11","High_HMMActual","7647.570000000764","","{""Q0"":""5e4810c074edcc2b4f31ab83""}","","",""
"html-keyboard-response","5","3384019","0.0-2.0-0.0","11","High_HMMActual","24874.35499999998","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","3403302","0.0-2.0-1.0","11","High_HMMActual","19283.17499999702","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 80% white or black beads and 20% of the opposite color mixed in.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","3410011","0.0-2.0-2.0","11","High_HMMActual","6707.875","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","3412118","0.0-2.0-3.0","11","High_HMMActual","2106.3549999999814","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","3422945","0.0-2.0-4.0","11","High_HMMActual","10826.629999999888","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","3426190","0.0-2.0-5.0","11","High_HMMActual","3244.255000001285","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","3434592","0.0-2.0-6.0","11","High_HMMActual","8401.054999998305","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>We will now show you some examples of beads being drawn from jars. The bead will appear in the middle of the screen, and the jar the bead was pulled from will be indicated with a black rectangle.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","3446152","0.0-2.0-7.0","11","High_HMMActual","11560.2249999973","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","3448368","0.0-2.0-8.0","11","High_HMMActual","2215.30999999959","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","3449796","0.0-2.0-9.0","11","High_HMMActual","1427.549999996554","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","3465479","0.0-2.0-10.0","11","High_HMMActual","15682.524999999907","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 80% white jar, the jars switched and a black bead was pulled from the 80% black jar, but then a low-probability white bead was pulled from the 80% black jar. <br><br>This means that the color of the bead will not always match to the color of the jar it was pulled from.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
"html-keyboard-response","16","3469439","0.0-2.0-11.0","11","High_HMMActual","3959.1550000002608","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> You will now be given a 2 question quiz to make sure you understand the task. </p><div>","32"
"image-keyboard-response","17","3501216","0.0-2.0-12.0","11","High_HMMActual","31774.70499999961","","","","Images/TutorialQuestion1.png","39"
"image-keyboard-response","18","3522875","0.0-2.0-13.0","11","High_HMMActual","19465.544999998994","","","","Images/TutorialQuestion2.png","38"
"html-keyboard-response","19","3541331","0.0-3.0","11","High_HMMActual","15761.709999999031","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>","32"
"image-keyboard-response","20","3552211","0.0-4.0-0.0","11","High_HMMActual","10878.290000000503","","","","Images/NoChoice.png","39"
"image-keyboard-response","21","3552612","0.0-4.0-1.0","11","High_HMMActual","null","","","","Images/WhiteBeadChoice.png","null"
