,Subject,Hazard,Ipast,Ifuture,DFB,W
0,1,Low,0.40741252263242905,0.3711652366491866,0.023860290730781275,0.34730494591840533
1,2,Low,0.3883867462029599,0.12020267667971347,-0.21088558484479142,0.3310882615245049
2,3,Low,0.47668154150113284,0.3070414841670959,-0.09871987882123673,0.40576136298833265
3,4,Low,0.6954614171098897,0.41092014655183423,-0.16648885617301118,0.5774090027248454
4,6,Low,0.2748483123156151,0.1361679317589082,-0.0981454645844349,0.2343133963433431
5,7,Low,0.5207458461895926,0.12164975853927495,-0.31980484420906174,0.4414546027483367
6,8,Low,0.5255990921245484,0.24912733103209614,-0.19622935068039257,0.4453566817124887
7,10,Low,0.40183335372962914,0.24155646079456786,-0.10099306178474934,0.3425495225793172
8,11,Low,0.40570398586343154,0.19381652351938838,-0.15203214534977694,0.3458486688691653
9,1,High,0.5947710108377405,0.5351965626664085,0.04069694905910065,0.4944996136073078
10,2,High,0.1290939202118491,0.005313041339292489,-0.10512961427437208,0.11044265561366456
11,3,High,0.08609858682258278,0.001647022881535789,-0.0720207065161446,0.07366772939768039
12,4,High,0.7882921056139971,0.4936433072440147,-0.14209081552284192,0.6357341227668566
13,6,High,0.12147707058709348,0.007701375063773872,-0.0962264087982842,0.10392778386205807
14,7,High,0.3138655200262076,0.08237855221327933,-0.18515841887143236,0.2675369710847117
15,8,High,0.7789790311989814,0.6387400535226931,0.009328726163299383,0.6294113273593938
16,10,High,0.10893227011221351,0.003136963062495266,-0.09006095605630848,0.09319791911880375
17,11,High,0.6234616208067422,0.3930218284246383,-0.12345282114350076,0.516474649568139
