,Subject,Hazard,Ipast,Ifuture,DFB,W
0,BS8975,h1,0.5590576691203859,0.30512925266635776,-0.14939499876512913,0.4545242514314869
1,BU8993,h1,0.5781000777539026,0.24745518689018633,-0.22141554973967195,0.4688707366298583
2,BW8982,h1,0.3827987659375429,0.1955012972058478,-0.11668969434445509,0.3121909915503029
3,DD8455,h1,0.7879145428451368,0.5815233327217473,-0.03564658866940973,0.617169921391157
4,EI8977,h1,0.5025492388419862,0.23271088238360635,-0.17710394251899578,0.4098148249026021
5,FH7090,h1,0.38369560620067183,0.19657509907483187,-0.11634702098183772,0.3129221200566696
6,KD8974,h1,0.6846471229718607,0.3185132862179776,-0.22835455352012235,0.5468678397380999
7,KQ8976,h1,0.42475133848790897,0.2585396889171435,-0.08785217760277475,0.34639186651991827
8,KQ8978,h1,0.45167364483751615,0.2773069903144824,-0.0910326705212951,0.3683396608357775
9,LT8818,h1,0.639535246928395,0.3528015729947515,-0.16159761923069899,0.5143991922254505
10,MC8912,h1,0.5742634999727513,0.3487973180612856,-0.11718295405806906,0.46598027211935467
11,MH11,h1,0.5173582871446363,0.3735139406898977,-0.048373622036109065,0.42188756272600675
12,NI1545,h1,0.14873504979512506,0.020215001920993108,-0.10116090001591892,0.12137590193691203
13,NM8919,h1,0.7205006500174095,0.38082307755215,-0.19115947421583263,0.5719825517679826
14,NS969,h1,0.7008775579984228,0.40812426083756387,-0.15019890425721566,0.5583231650947795
15,NT8981,h1,0.8249598507025027,0.2850009567926579,-0.35562032276053357,0.6406212795531915
16,OI8972,h1,0.25457941437044856,0.046959821405824075,-0.1607032772157032,0.2076630986215273
17,OO8992,h1,0.5806094981673543,0.2532521859863563,-0.21750913935583066,0.47076132534218695
18,UX8973,h1,0.41274221023766877,0.18233300875444736,-0.15426869070748062,0.336601699461928
19,YL13,h1,0.5323052903360058,0.2509591114855224,-0.183113653630749,0.4340727651162714
20,AH10,h1,0.6043838081486353,0.38216511308054524,-0.1064643764749964,0.48862948955554164
21,BC1809,h1,0.7748064125081108,0.18606088560902725,-0.4225654626973113,0.6086263483063385
22,BC8966,h1,0.5870871381256816,0.3966192459862764,-0.07902231103095991,0.4756415570172363
23,BC8970,h1,0.5376546110536191,0.2620667913981539,-0.1763324696676553,0.43839926106580923
24,BT8810,h1,0.7024431411127285,0.34058882399511264,-0.2188241237448611,0.5594129477399737
25,BX1457,h1,0.7628497718146608,0.6120830233881555,0.01137024761122496,0.6007127757769305
